Date,Open,High,Low,Close,Volume
2025-01-31 17:00:00,1.03994,1.04016,1.0399,1.04008,108
2025-01-31 17:01:00,1.04007,1.04025,1.04007,1.04017,86
2025-01-31 17:02:00,1.0402,1.04023,1.0401,1.0401,64
2025-01-31 17:03:00,1.04011,1.04026,1.04004,1.04016,92
2025-01-31 17:04:00,1.04014,1.04017,1.03992,1.04001,57
2025-01-31 17:05:00,1.04002,1.04012,1.03998,1.04012,59
2025-01-31 17:06:00,1.04013,1.04022,1.04013,1.04017,48
2025-01-31 17:07:00,1.04018,1.04019,1.03996,1.03997,60
2025-01-31 17:08:00,1.03996,1.04033,1.0391,1.04032,193
2025-01-31 17:09:00,1.04007,1.04196,1.04007,1.04196,411
2025-01-31 17:10:00,1.04201,1.0426,1.04164,1.04191,404
2025-01-31 17:11:00,1.04188,1.04245,1.04187,1.04245,258
2025-01-31 17:12:00,1.04247,1.04337,1.04241,1.04303,349
2025-01-31 17:13:00,1.04301,1.04301,1.04243,1.04281,258
2025-01-31 17:14:00,1.04287,1.04292,1.04221,1.0425,236
2025-01-31 17:15:00,1.04251,1.04252,1.04191,1.04215,221
2025-01-31 17:16:00,1.04218,1.04245,1.04169,1.04175,220
2025-01-31 17:17:00,1.04174,1.04181,1.04147,1.04173,196
2025-01-31 17:18:00,1.04171,1.04181,1.04146,1.04175,184
2025-01-31 17:19:00,1.0418,1.0425,1.04178,1.04244,164
2025-01-31 17:20:00,1.04242,1.04258,1.04217,1.04229,143
2025-01-31 17:21:00,1.0423,1.04274,1.04226,1.04274,115
2025-01-31 17:22:00,1.04273,1.04288,1.04264,1.0427,121
2025-01-31 17:23:00,1.04271,1.04282,1.04255,1.04255,114
2025-01-31 17:24:00,1.04256,1.04279,1.04246,1.04276,166
2025-01-31 17:25:00,1.04277,1.04297,1.04268,1.04294,155
2025-01-31 17:26:00,1.04296,1.04328,1.04292,1.04318,175
2025-01-31 17:27:00,1.04317,1.04334,1.04296,1.04296,161
2025-01-31 17:28:00,1.04298,1.04307,1.04283,1.04294,142
2025-01-31 17:29:00,1.04295,1.04317,1.04294,1.04316,131
2025-01-31 17:30:00,1.04317,1.0432,1.04255,1.04259,152
2025-01-31 17:31:00,1.0426,1.04285,1.04258,1.04285,145
2025-01-31 17:32:00,1.04286,1.04288,1.04249,1.04249,141
2025-01-31 17:33:00,1.04248,1.04251,1.04216,1.04233,149
2025-01-31 17:34:00,1.04237,1.04262,1.04231,1.0426,144
2025-01-31 17:35:00,1.04261,1.04261,1.04229,1.04245,149
2025-01-31 17:36:00,1.04246,1.04262,1.04243,1.04253,116
2025-01-31 17:37:00,1.04254,1.04273,1.04247,1.04256,99
2025-01-31 17:38:00,1.04255,1.04263,1.04231,1.04235,121
2025-01-31 17:39:00,1.04236,1.04238,1.04216,1.04217,138
2025-01-31 17:40:00,1.04214,1.04237,1.04213,1.04221,106
2025-01-31 17:41:00,1.04227,1.04263,1.04227,1.04263,82
2025-01-31 17:42:00,1.04262,1.04276,1.04228,1.04263,124
2025-01-31 17:43:00,1.04264,1.04268,1.04248,1.04253,122
2025-01-31 17:44:00,1.04252,1.04268,1.04243,1.04243,92
2025-01-31 17:45:00,1.04242,1.04246,1.04221,1.04222,105
2025-01-31 17:46:00,1.04221,1.04221,1.04191,1.04196,94
