Date,Open,High,Low,Close,Volume
2025-01-31 17:00:00,0.62397,0.62404,0.62386,0.62391,322
2025-01-31 17:05:00,0.6239,0.6254,0.62313,0.6254,781
2025-01-31 17:10:00,0.62541,0.62624,0.62511,0.6254,1382
2025-01-31 17:15:00,0.62542,0.62581,0.62493,0.62569,884
2025-01-31 17:20:00,0.62566,0.62587,0.62542,0.62553,704
2025-01-31 17:25:00,0.62552,0.626,0.62552,0.62596,631
2025-01-31 17:30:00,0.62597,0.62617,0.62562,0.62583,670
2025-01-31 17:35:00,0.62581,0.62599,0.62558,0.62578,538
2025-01-31 17:40:00,0.62575,0.62592,0.62563,0.6257,542
2025-01-31 17:45:00,0.62571,0.62573,0.62497,0.62529,574
2025-01-31 17:50:00,0.62528,0.62566,0.62516,0.62557,501
2025-01-31 17:55:00,0.62556,0.62562,0.62534,0.62553,582
2025-01-31 18:00:00,0.62552,0.6256,0.62525,0.62539,425
2025-01-31 18:05:00,0.6254,0.62555,0.62524,0.62536,274
2025-01-31 18:10:00,0.62538,0.62564,0.62538,0.62552,352
2025-01-31 18:15:00,0.62553,0.62567,0.62349,0.62349,468
2025-01-31 18:20:00,0.62358,0.62413,0.62289,0.62321,1452
2025-01-31 18:25:00,0.62322,0.62323,0.62188,0.62247,1053
2025-01-31 18:30:00,0.62248,0.62248,0.62117,0.62147,1034
2025-01-31 18:35:00,0.62146,0.62198,0.62127,0.62184,987
2025-01-31 18:40:00,0.62185,0.62256,0.62165,0.62229,1091
2025-01-31 18:45:00,0.62228,0.62269,0.62218,0.62246,814
2025-01-31 18:50:00,0.62245,0.62259,0.6218,0.62216,762
2025-01-31 18:55:00,0.62213,0.62234,0.62169,0.62184,588
2025-01-31 19:00:00,0.62183,0.622,0.62143,0.62149,616
2025-01-31 19:05:00,0.62151,0.62157,0.62113,0.62116,652
2025-01-31 19:10:00,0.6212,0.62164,0.62116,0.6215,564
2025-01-31 19:15:00,0.62149,0.62154,0.62099,0.62116,441
2025-01-31 19:20:00,0.62117,0.62129,0.62097,0.62127,459
2025-01-31 19:25:00,0.62126,0.62145,0.62115,0.62141,518
2025-01-31 19:30:00,0.62142,0.62172,0.62132,0.62147,474
2025-01-31 19:35:00,0.62146,0.62154,0.62105,0.62115,441
2025-01-31 19:40:00,0.62116,0.62146,0.62096,0.62097,466
2025-01-31 19:45:00,0.62096,0.62144,0.62072,0.62136,486
2025-01-31 19:50:00,0.62138,0.62171,0.62129,0.62162,562
2025-01-31 19:55:00,0.6216,0.62173,0.62139,0.62143,467
2025-01-31 20:00:00,0.6214,0.62142,0.62105,0.62112,372
2025-01-31 20:05:00,0.62113,0.62128,0.62093,0.62128,402
2025-01-31 20:10:00,0.62129,0.62163,0.62128,0.62144,475
2025-01-31 20:15:00,0.62143,0.62151,0.62118,0.62125,367
2025-01-31 20:20:00,0.62124,0.62147,0.62111,0.62145,356
2025-01-31 20:25:00,0.62143,0.6215,0.62117,0.62142,395
2025-01-31 20:30:00,0.62141,0.62159,0.62128,0.62151,368
2025-01-31 20:35:00,0.62149,0.6219,0.62149,0.62171,292
2025-01-31 20:40:00,0.62173,0.62184,0.62166,0.62182,325
2025-01-31 20:45:00,0.62181,0.62209,0.6218,0.62201,266
2025-01-31 20:50:00,0.62202,0.62215,0.62087,0.62103,971
2025-01-31 20:55:00,0.62106,0.62166,0.621,0.62134,833
2025-01-31 21:00:00,0.62135,0.62182,0.62133,0.62177,587
2025-01-31 21:05:00,0.62178,0.6222,0.62135,0.62139,808
2025-01-31 21:10:00,0.62136,0.62136,0.62073,0.62086,725
2025-01-31 21:15:00,0.62085,0.62116,0.62085,0.62113,276
2025-01-31 21:20:00,0.62112,0.62128,0.62109,0.62119,247
2025-01-31 21:25:00,0.62119,0.62158,0.62113,0.62149,228
2025-01-31 21:30:00,0.62148,0.62148,0.62113,0.62122,179
2025-01-31 21:35:00,0.62118,0.62122,0.62072,0.62093,168
2025-01-31 21:40:00,0.62095,0.62096,0.62069,0.62079,107
2025-01-31 21:45:00,0.62082,0.62107,0.62077,0.62094,160
2025-01-31 21:50:00,0.62094,0.62109,0.62089,0.62094,148
2025-01-31 21:55:00,0.62097,0.621,0.62061,0.62088,260
